"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200601 ~ 20200630"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","202006","23","149,500","4","1988","언주로 103"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","18","162,750","4","1987","언주로 3"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","20","160,000","5","1987","언주로 3"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202006","22","150,000","2","1987","언주로 3"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","165,000","2","1987","언주로 3"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","67.28","202006","25","120,000","4","1987","언주로 3"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202006","8","268,500","5","1984","개포로 307"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202006","9","270,000","6","1984","개포로 307"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","74.25","202006","4","189,000","8","1983","삼성로4길 17"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","61.19","202006","5","167,500","2","1983","삼성로4길 17"
"서울특별시 강남구 개포동","187","0187","0000","개포주공 5단지","74.25","202006","9","185,000","2","1983","삼성로4길 17"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","60.13","202006","2","165,000","4","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","60.13","202006","10","171,500","8","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","73.02","202006","11","180,000","3","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","83.21","202006","16","205,000","2","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","73.02","202006","17","193,000","8","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","83.21","202006","29","210,000","13","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","83.7","202006","13","195,000","3","1983","개포로 516"
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","73.26","202006","26","183,000","3","1983","개포로 516"
"서울특별시 강남구 개포동","649","0649","0000","경남1","96.98","202006","9","200,000","9","1984","언주로 110"
"서울특별시 강남구 개포동","649","0649","0000","경남2차","182.2","202006","24","279,000","10","1984","언주로 110"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","84.36","202006","10","227,000","5","2019","삼성로 11"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.87","202006","27","207,000","13","2019","삼성로 11"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.75","202006","29","205,000","15","2019","삼성로 11"
