시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,201910,1,230000,3,1984,개포로 307
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,201910,30,240000,12,1984,개포로 307
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),168.42,201910,18,202500,19,2004,개포로109길 69
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),134.3,201910,19,194000,19,2004,개포로109길 69
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201910,1,180000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201910,2,153000,2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,3,205000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201910,3,225000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,4,207000,2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,201910,4,223000,2,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,201910,5,260000,4,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,201910,12,270000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,16,205000,3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201910,22,180000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,23,205000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,45.26,201910,27,205000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201910,29,205000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.87,201910,31,196000,3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.44,201910,31,175000,4,1982,개포로 310
