시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,58.08,202003,2,226000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,56.57,202003,4,309500,4,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,202003,6,203000,5,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,56.57,202003,12,215000,1,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.38,202003,19,264000,1,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,49.56,202003,27,235000,3,1982,선릉로 7
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,202003,30,190000,3,1982,개포로 310
서울특별시 강남구 개포동,141,141,0,개포주공 1단지,50.64,202003,30,194000,4,1982,개포로 310
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202003,7,158500,11,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,83.21,202003,12,200000,4,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,73.02,202003,26,167500,12,1983,개포로 516
서울특별시 강남구 개포동,649,649,0,경남2차,149.21,202003,9,247000,5,1984,언주로 110
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,76.17,202003,11,228000,2,2019,삼성로 11
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.94,202003,11,263000,15,2019,선릉로 8
서울특별시 강남구 개포동,1164-25,1164,25,리더스,84.16,202003,20,62000,6,2002,논현로2길 62
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202003,25,138000,14,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202003,3,124000,4,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202003,6,123500,10,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202003,14,91000,7,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202003,23,102250,8,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202003,30,85000,9,1992,개포로109길 9
서울특별시 강남구 논현동,192-3,192,3,논현동프라임,134.28,202003,9,118000,6,2004,논현로113길 5
서울특별시 강남구 논현동,252-1,252,1,두산위브1단지,84.993,202003,12,150000,2,2004,학동로46길 38
서울특별시 강남구 논현동,58-2,58,2,마일스디오빌,36.29,202003,27,37750,7,2004,학동로 165
서울특별시 강남구 논현동,103,103,0,쌍용,84.87,202003,18,74000,11,1996,도산대로50길 43
서울특별시 강남구 논현동,138-9,138,9,월드쉐르빌,68.86,202003,7,58000,2,2003,강남대로124길 51
서울특별시 강남구 논현동,53-1,53,1,힐타워,125.73,202003,30,60000,1,2001,강남대로132길 26
서울특별시 강남구 대치동,500,500,0,개포우성2,127.78,202003,14,295000,1,1984,선릉로 120
서울특별시 강남구 대치동,500,500,0,개포우성2,127.78,202003,23,340000,12,1984,선릉로 120
서울특별시 강남구 대치동,500,500,0,개포우성2,127.78,202003,27,305000,5,1984,선릉로 120
서울특별시 강남구 대치동,891-26,891,26,대우아이빌멤버스(891-26),36.566,202003,7,35000,8,2003,삼성로85길 42
서울특별시 강남구 대치동,891-23,891,23,대우아이빌명문가(891-23),33.06,202003,20,33500,8,2004,선릉로90길 56
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,97.35,202003,21,220000,20,2000,도곡로78길 22
서울특별시 강남구 대치동,670,670,0,동부센트레빌,121.74,202003,9,325000,4,2005,선릉로 206
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202003,30,319000,4,2005,선릉로 206
서울특별시 강남구 대치동,506,506,0,선경1차(1동-7동),84.35,202003,11,259600,3,1983,삼성로 151
서울특별시 강남구 대치동,506,506,0,선경1차(1동-7동),136.68,202003,25,320000,11,1983,삼성로 151
서울특별시 강남구 대치동,975-20,975,20,세영팔레스타운,84.85,202003,25,138000,4,2002,영동대로65길 57
서울특별시 강남구 대치동,316,316,0,은마,76.79,202003,10,195000,2,1979,삼성로 212
서울특별시 강남구 대치동,316,316,0,은마,76.79,202003,25,193300,11,1979,삼성로 212
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,33.8,202003,2,37500,17,2006,강남대로 240
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,202003,14,27500,15,2004,강남대로 256
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,202003,14,28000,4,2004,강남대로 256
서울특별시 강남구 도곡동,952,952,0,대우디오빌,25.89,202003,21,26000,9,2004,강남대로 256
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,120.8233,202003,4,265000,20,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9231,202003,8,229000,18,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9231,202003,10,232000,3,2006,선릉로 221
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202003,11,239000,9,2006,선릉로 221
서울특별시 강남구 도곡동,199-4,199,4,도곡지웰카운티 101동,107.11,202003,10,166000,4,2010,남부순환로373길 3
서울특별시 강남구 도곡동,161,161,0,삼성,73.41,202003,5,160000,8,1994,남부순환로379길 14
서울특별시 강남구 도곡동,161,161,0,삼성,73.41,202003,10,138000,10,1994,남부순환로379길 14
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,122.81,202003,12,237500,24,2001,남부순환로 2803
서울특별시 강남구 도곡동,869,869,0,삼익,153.71,202003,7,191000,6,1983,논현로 218
서울특별시 강남구 도곡동,467-10,467,10,우성리빙텔,120.21,202003,24,135000,9,1996,언주로30길 27
서울특별시 강남구 도곡동,467-10,467,10,우성리빙텔,120.21,202003,30,128000,9,1996,언주로30길 27
서울특별시 강남구 도곡동,467-10,467,10,우성리빙텔,119.25,202003,31,135000,20,1996,언주로30길 27
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.95,202003,4,308500,48,2002,언주로30길 56
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스2,163.28,202003,17,294000,25,2003,언주로30길 57
서울특별시 강남구 도곡동,467-29,467,29,타워팰리스3,163.567,202003,4,298000,51,2004,언주로30길 26
서울특별시 강남구 도곡동,895-8,895,8,한신엠비씨,84.74,202003,5,160000,1,1988,논현로 205
서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,34.995,202003,3,34000,23,1999,언주로30길 10
서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,34.995,202003,14,35700,22,1999,언주로30길 10
서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,32.65,202003,25,37000,17,1999,언주로30길 10
서울특별시 강남구 삼성동,142-7,142,7,LG선릉에클라트(A),36.16,202003,9,34000,5,2003,선릉로100길 42
서울특별시 강남구 삼성동,114-11,114,11,삼성동신영지웰,84.32,202003,7,98000,14,2005,봉은사로 448
서울특별시 강남구 삼성동,101,101,0,삼성동에스케이뷰,117.42,202003,6,187000,7,2005,봉은사로109길 14-8
서울특별시 강남구 삼성동,101,101,0,삼성동에스케이뷰,84.88,202003,6,165000,7,2005,봉은사로109길 14-8
서울특별시 강남구 삼성동,2,2,0,서광아파트,59.67,202003,27,141000,10,1998,선릉로130길 19
서울특별시 강남구 삼성동,64-5,64,5,아델하우스,206.1,202003,10,292000,3,2008,학동로82길 29
서울특별시 강남구 삼성동,87,87,0,아이파크,156.857,202003,18,427000,32,2004,영동대로 640
서울특별시 강남구 삼성동,106,106,0,풍림(1차),59.7,202003,14,149900,11,1998,영동대로112길 15
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,84.97,202003,28,110000,10,2011,헌릉로590길 63
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,74.74,202003,7,123000,8,2013,헌릉로571길 20
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,59.99,202003,19,111000,5,2013,헌릉로571길 20
서울특별시 강남구 수서동,559,559,0,강남데시앙포레,84.86,202003,10,155000,10,2014,광평로34길 55
서울특별시 강남구 수서동,559,559,0,강남데시앙포레,59.81,202003,12,125000,4,2014,광평로34길 55
서울특별시 강남구 수서동,746,746,0,까치마을,49.5,202003,3,114500,11,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,49.5,202003,4,115000,14,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202003,7,89000,14,1993,광평로19길 10
서울특별시 강남구 수서동,747,747,0,삼성,84.97,202003,14,157500,14,1997,광평로31길 27
서울특별시 강남구 수서동,708,708,0,삼익,60,202003,9,116500,9,1992,광평로51길 27
서울특별시 강남구 수서동,708,708,0,삼익,60,202003,10,85000,15,1992,광평로51길 27
서울특별시 강남구 수서동,712,712,0,수서한아름,97.63,202003,7,141000,1,1993,광평로51길 22
서울특별시 강남구 수서동,736,736,0,신동아,33.18,202003,3,84000,2,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,39.51,202003,4,94000,13,1992,광평로47길 17
서울특별시 강남구 수서동,736,736,0,신동아,49.96,202003,12,108500,9,1992,광평로47길 17
서울특별시 강남구 신사동,510-11,510,11,강남상가,103.44,202003,18,85000,4,1974,압구정로2길 46
서울특별시 강남구 신사동,540-2,540,2,대성아트빌,78.51,202003,2,71500,3,2002,논현로151길 45
서울특별시 강남구 신사동,658,658,0,로데오현대,84.96,202003,23,119000,7,1998,압구정로50길 28
서울특별시 강남구 신사동,659,659,0,압구정대원칸타빌아파트,113.31,202003,5,165000,5,2001,압구정로48길 15
서울특별시 강남구 신사동,593-32,593,32,토미,80.83,202003,20,79000,5,2004,논현로158길 17
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202003,2,209000,16,1987,압구정로 113
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202003,7,195000,11,1987,압구정로 113
서울특별시 강남구 압구정동,434,434,0,신현대12차,182.95,202003,10,450000,10,1982,압구정로 151
서울특별시 강남구 압구정동,426,426,0,신현대9차,108.88,202003,13,239500,2,1982,압구정로 151
서울특별시 강남구 압구정동,513,513,0,한양5,153.59,202003,10,340000,13,1979,압구정로 401
서울특별시 강남구 압구정동,510,510,0,한양8(81동한개동),210.1,202003,10,480000,12,1984,압구정로 403
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",131.48,202003,13,297500,6,1976,압구정로29길 71
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",131.48,202003,19,290000,3,1976,압구정로29길 71
서울특별시 강남구 압구정동,456,456,0,"현대6차(78~81,83,84,86,87동)",157.36,202003,16,305000,1,1978,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",144.2,202003,14,350000,9,1979,압구정로 201
