시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경기도 가평군 가평읍 달전리,281,281,0,세대넥스빌,59.88,202007,28,11900,15,1996,달전로 59
경기도 가평군 가평읍 달전리,285-1,285,1,신초,71.735,202007,7,11400,2,1993,달전로 64
경기도 가평군 가평읍 대곡리,285-6,285,6,태광,65.58,202007,1,6500,6,1992,석봉로153번길 13
경기도 가평군 가평읍 읍내리,537-1,537,1,중앙,84.14,202007,29,13800,5,1990,향교로 13
경기도 가평군 설악면 선촌리,663,663,0,북한강코아루,59.98,202007,6,21000,12,2014,자잠로 86
경기도 가평군 설악면 선촌리,663,663,0,북한강코아루,84.11,202007,21,29700,13,2014,자잠로 86
경기도 가평군 설악면 선촌리,663,663,0,북한강코아루,84.84,202007,27,21800,1,2014,자잠로 86
경기도 가평군 청평면 청평리,306,306,0,경남아너스빌,84.8896,202007,24,20700,11,2008,골안길 7-28
경기도 가평군 청평면 청평리,657-1,657,1,이안지안스청평,70.33,202007,3,15612,4,2018,구청평로 20
경기도 가평군 청평면 청평리,470-37,470,37,청구,84.84,202007,14,14750,16,1998,경춘로 807-18
경기도 가평군 청평면 청평리,470-37,470,37,청구,84.84,202007,21,14500,9,1998,경춘로 807-18
경기도 가평군 청평면 청평리,634-2,634,2,청수,73.33,202007,24,10000,4,1992,경춘로 722
경기도 가평군 청평면 청평리,79-57,79,57,청일,115.21,202007,9,18800,2,2000,여울길 66
경기도 가평군 청평면 청평리,837,837,0,청평삼성쉐르빌,84.3,202007,31,23500,10,2012,강변나루로 54
경기도 가평군 청평면 청평리,472,472,0,청평세양청마루,84.99,202007,6,18100,4,2007,경춘로 807-45
경기도 가평군 청평면 청평리,472,472,0,청평세양청마루,84.99,202007,11,19500,2,2007,경춘로 807-45
경기도 가평군 청평면 청평리,472,472,0,청평세양청마루,84.99,202007,16,19000,7,2007,경춘로 807-45
경기도 가평군 청평면 청평리,472,472,0,청평세양청마루,102.908,202007,21,22450,12,2007,경춘로 807-45
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,59.99,202007,1,21800,10,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,10,24300,17,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,15,23700,6,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,18,25000,20,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,28,21500,2,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,28,23000,9,2007,읍내로 25
경기도 고양덕양구 고양동,454,454,0,고양동우방유쉘아파트,84.93,202007,29,24500,6,2007,읍내로 25
경기도 고양덕양구 고양동,197,197,0,삼성,59.886,202007,27,18800,22,1998,혜음로 30
경기도 고양덕양구 고양동,414-1,414,1,윤창,84.96,202007,1,17500,2,1997,동헌로 398-17
경기도 고양덕양구 고양동,399,399,0,청구,59.97,202007,27,13800,1,1997,동헌로 408-8
경기도 고양덕양구 고양동,399,399,0,청구,84.98,202007,27,17500,17,1997,동헌로 408-8
