시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,202007,1,22300,10,2017,화전산업대로 272-11
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,87.852,202007,3,43150,23,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,87.852,202007,4,46000,25,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,87.852,202007,4,41400,4,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,87.852,202007,7,48000,27,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,98.967,202007,7,50000,11,2019,명지국제2로 80
부산광역시 강서구 명지동,3599-1,3599,1,e편한세상명지,87.983,202007,28,50000,19,2019,명지국제2로 80
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,202007,1,42900,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.99,202007,3,50000,15,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.96,202007,3,30500,5,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,202007,7,25000,10,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,114.49,202007,9,33500,3,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,84.97,202007,11,25000,4,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,133.77,202007,16,38500,11,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.99,202007,21,34500,14,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3233,3233,0,극동스타클래스,101.92,202007,22,33000,9,2008,명지오션시티2로 71
부산광역시 강서구 명지동,3404,3404,0,더에듀팰리스부영,135.8022,202007,5,56000,1,2019,명지국제7로 110
부산광역시 강서구 명지동,3404,3404,0,더에듀팰리스부영,135.3039,202007,7,78000,19,2019,명지국제7로 110
부산광역시 강서구 명지동,3404,3404,0,더에듀팰리스부영,135.8022,202007,8,66000,9,2019,명지국제7로 110
부산광역시 강서구 명지동,3404,3404,0,더에듀팰리스부영,91.6395,202007,10,57000,11,2019,명지국제7로 110
부산광역시 강서구 명지동,3404,3404,0,더에듀팰리스부영,135.8022,202007,22,75900,7,2019,명지국제7로 110
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,125.79,202007,1,35500,11,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,5,25700,1,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,6,27900,14,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,6,28400,5,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.93,202007,8,25900,6,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,101.88,202007,9,32000,8,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,9,27000,4,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,10,27650,11,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,16,26000,3,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,101.88,202007,22,31500,9,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.94,202007,25,25300,2,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.93,202007,25,27900,5,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,101.88,202007,29,31000,9,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3244,3244,0,롯데캐슬,84.93,202007,31,24800,4,2008,명지오션시티11로 84
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9145,202007,3,49300,19,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9341,202007,4,48000,13,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9145,202007,7,48400,17,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9341,202007,9,42800,15,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9341,202007,17,42000,6,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9145,202007,24,42000,3,2015,명지국제5로 30
부산광역시 강서구 명지동,3423,3423,0,명지 대방노블랜드 오션뷰1차,84.9341,202007,24,38500,7,2015,명지국제5로 30
