시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,1172-2,1172,2,(1172-2),42.15,24.69,202007,21,30700,3,2012,논현로6길 22-6
서울특별시 강남구 개포동,1186,1186,0,1186 HOUSE,54.94,36.2,202007,7,70000,5,2020,논현로8길 24
서울특별시 강남구 개포동,1169-5,1169,5,RAON,47.19,28.71,202007,7,52000,4,2015,논현로6길 10-14
서울특별시 강남구 개포동,1252-6,1252,6,네비스빌,34.83,18.75,202007,4,27500,4,2004,개포로21길 25
서울특별시 강남구 개포동,1252-6,1252,6,네비스빌,66.64,35.82,202007,4,50000,2,2004,개포로21길 25
서울특별시 강남구 개포동,1169-7,1169,7,녹경빌리지 B동,32.74,15.39,202007,31,25000,1,1995,논현로2길 9
서울특별시 강남구 개포동,1184-17,1184,17,뉴아트빌,43.55,22.91,202007,4,28500,2,1995,논현로8길 39
서울특별시 강남구 개포동,1171-6,1171,6,뉴아트빌라,74.28,32.69,202007,3,43000,1,2000,논현로4길 15
서울특별시 강남구 개포동,1164-29,1164,29,동산빌라,42.6,18.99,202007,6,25000,4,1996,논현로2길 63
서울특별시 강남구 개포동,1254-3,1254,3,디자인하우스,28.9,16.72,202007,7,35000,6,2015,개포로25길 21-3
서울특별시 강남구 개포동,1245-3,1245,3,로얄팰리체,29.13,17.96,202007,9,37300,2,2018,개포로17길 9-7
서울특별시 강남구 개포동,1233-8,1233,8,리아체,48.35,29.92,202007,9,29500,2,2017,논현로18길 22-20
서울특별시 강남구 개포동,1180-7,1180,7,미농빌라,25.83,16.29,202007,3,22500,3,1990,논현로8길 58-5
서울특별시 강남구 개포동,1209-3,1209,3,삼성파크빌B동(1209-3),27.16,18.47,202007,26,20000,5,2003,개포로34길 12
서울특별시 강남구 개포동,1206-6,1206,6,삼열주택,66.49,30.7,202007,17,40000,2,1992,개포로26길 25
서울특별시 강남구 개포동,1240-1,1240,1,상헌새티스빌,69.37,33.97,202007,15,41200,4,2001,개포로15길 11
