시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
인천광역시 강화군 강화읍 갑곳리,165-1,165,1,그랑드빌,59.99,202007,20,10900,2,2001,갑룡길 35
인천광역시 강화군 강화읍 갑곳리,1100,1100,0,베이힐,60.24,202007,11,18500,10,2007,강화대로 234-12
인천광역시 강화군 강화읍 갑곳리,83-1,83,1,설호,66.69,202007,20,6300,5,1990,갑룡길49번길 2
인천광역시 강화군 강화읍 갑곳리,83-1,83,1,설호,66.69,202007,24,6700,5,1990,갑룡길49번길 2
인천광역시 강화군 강화읍 갑곳리,83-1,83,1,설호,66.69,202007,28,8500,3,1990,갑룡길49번길 2
인천광역시 강화군 강화읍 갑곳리,667,667,0,현대,84.89,202007,6,16000,4,1994,강화대로 191-14
인천광역시 강화군 강화읍 갑곳리,667,667,0,현대,84.89,202007,20,18000,10,1994,강화대로 191-14
인천광역시 강화군 강화읍 관청리,175-1,175,1,그랑프리타워,31.14,202007,1,9000,5,2015,강화대로404번길 7
인천광역시 강화군 강화읍 관청리,623,623,0,용진1,44.64,202007,7,6500,5,1989,북문길 27
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,104.2886,202007,1,22800,9,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,68.203,202007,2,16500,7,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,68.203,202007,4,15700,9,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,84.916,202007,8,17700,6,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,68.203,202007,8,16000,12,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,68.203,202007,15,16500,3,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,84.916,202007,18,17800,10,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,84.916,202007,25,18500,8,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,619,619,0,강화2차세광엔리치빌,84.916,202007,26,18800,14,2004,중앙로 253-1
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,3,17400,8,2001,중앙로 274
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,4,15000,1,2001,중앙로 274
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,18,16000,10,2001,중앙로 274
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,18,18000,12,2001,중앙로 274
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,20,16200,4,2001,중앙로 274
인천광역시 강화군 선원면 창리,663,663,0,세광엔리치빌1차,84.9942,202007,21,14500,3,2001,중앙로 274
인천광역시 계양구 계산동,산37-6,37,6,경신,42.48,202007,28,12500,1,1987,계양산로 17
인천광역시 계양구 계산동,899,899,0,극동,57.05,202007,8,22500,5,1985,하느재로19번길 8
인천광역시 계양구 계산동,899,899,0,극동,52.45,202007,29,19000,1,1985,하느재로19번길 8
인천광역시 계양구 계산동,975-8,975,8,동남(975-8),44.7,202007,25,13700,2,1987,향교로 23
인천광역시 계양구 계산동,342-1,342,1,삼보1,40.59,202007,3,13200,5,1987,주부토로 528
인천광역시 계양구 계산동,12-4,12,4,삼보3,41.67,202007,6,14850,4,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,57.96,202007,9,17800,5,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,57.96,202007,16,16850,1,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,57.96,202007,28,18000,2,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,57.96,202007,29,18300,2,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,41.67,202007,29,16000,1,1988,경명대로 1126
인천광역시 계양구 계산동,12-4,12,4,삼보3,57.96,202007,30,17500,5,1988,경명대로 1126
인천광역시 계양구 계산동,321-2,321,2,삼천리,46.615,202007,8,17500,1,1986,주부토로 507
인천광역시 계양구 계산동,321-2,321,2,삼천리,46.615,202007,8,13500,5,1986,주부토로 507
인천광역시 계양구 계산동,321-2,321,2,삼천리,37.615,202007,14,12500,4,1986,주부토로 507
인천광역시 계양구 계산동,321-2,321,2,삼천리,40.36,202007,28,13300,2,1986,주부토로 507
인천광역시 계양구 계산동,930,930,0,삼환1,57.78,202007,2,17800,3,1989,하느재로 15
인천광역시 계양구 계산동,930,930,0,삼환1,73.48,202007,3,19900,6,1989,하느재로 15
인천광역시 계양구 계산동,930,930,0,삼환1,57.78,202007,10,17500,3,1989,하느재로 15
인천광역시 계양구 계산동,930,930,0,삼환1,73.48,202007,20,23900,4,1989,하느재로 15
인천광역시 계양구 계산동,753,753,0,서해2,58.14,202007,2,12900,3,1990,계산로 18-1
인천광역시 계양구 계산동,954-30,954,30,서해3,58.33,202007,18,17000,2,1991,주부토로501번길 26
인천광역시 계양구 계산동,941,941,0,신도브래뉴,57.6852,202007,2,25500,12,2005,계양대로 215
인천광역시 계양구 계산동,941,941,0,신도브래뉴,84.9536,202007,16,41500,8,2005,계양대로 215
인천광역시 계양구 계산동,76,76,0,영남,48.27,202007,1,13600,2,1990,주부토로532번길 52
인천광역시 계양구 계산동,76,76,0,영남,54.54,202007,10,16250,3,1990,주부토로532번길 52
인천광역시 계양구 계산동,931-16,931,16,영동,41.16,202007,27,9500,4,1986,경명대로1045번길 11
인천광역시 계양구 계산동,337-11,337,11,원흥,54.27,202007,14,15050,2,1991,주부토로 520
인천광역시 계양구 계산동,337-11,337,11,원흥,54.27,202007,20,16000,2,1991,주부토로 520
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(강북),102.48,202007,7,35500,2,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(강북),102.48,202007,25,38500,6,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(삼보),90.18,202007,1,36000,15,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(삼보),90.18,202007,6,38800,16,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(삼보),90.18,202007,8,33900,6,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(삼보),90.18,202007,10,34300,5,1997,계산새로 108
인천광역시 계양구 계산동,1084-2,1084,2,은행마을(삼보),114.63,202007,28,43500,8,1997,계산새로 108
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(아주),60.33,202007,2,25000,3,1997,용종로 26
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(아주),60.33,202007,8,25500,5,1997,용종로 26
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(아주),73.19,202007,14,32300,21,1997,용종로 26
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(아주),73.19,202007,31,32000,11,1997,용종로 26
인천광역시 계양구 계산동,1084-3,1084,3,은행마을(태산),100.59,202007,8,40000,14,1997,오조산로62번길 10
인천광역시 계양구 계산동,1084-3,1084,3,은행마을(태산),100.59,202007,10,34500,11,1997,오조산로62번길 10
인천광역시 계양구 계산동,1084-3,1084,3,은행마을(태산),100.59,202007,13,35700,9,1997,오조산로62번길 10
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(태평),68.05,202007,6,28000,14,1997,용종로 20
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(태평),84.16,202007,9,34900,17,1997,용종로 20
인천광역시 계양구 계산동,1085-2,1085,2,은행마을(태평),84.16,202007,11,33500,9,1997,용종로 20
인천광역시 계양구 계산동,57-2,57,2,인정프린스,84.83,202007,7,24900,15,1992,계산새로5번길 14
인천광역시 계양구 계산동,57-2,57,2,인정프린스,84.3625,202007,7,25500,5,1992,계산새로5번길 14
인천광역시 계양구 계산동,57-2,57,2,인정프린스,75.2255,202007,15,20000,7,1992,계산새로5번길 14
인천광역시 계양구 계산동,931-39,931,39,일신,45.36,202007,7,11500,4,1986,경명대로1045번길 8
인천광역시 계양구 계산동,924-5,924,5,제성,47.61,202007,21,9250,1,1984,하느재로20번길 19
인천광역시 계양구 계산동,20,20,0,주공,41.3,202007,2,18100,2,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,49.94,202007,2,23400,3,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,2,16000,4,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,10,17000,13,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,41.3,202007,11,18000,15,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,41.3,202007,16,17700,1,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,49.94,202007,17,24500,4,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,23,17000,10,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,25,16900,15,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,49.94,202007,28,25000,8,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,30,16700,12,1990,경명대로1142번길 3
인천광역시 계양구 계산동,20,20,0,주공,36.16,202007,30,17000,4,1990,경명대로1142번길 3
인천광역시 계양구 계산동,49-4,49,4,태평,57.03,202007,3,13000,6,1990,주부토로532번길 42
인천광역시 계양구 계산동,49-4,49,4,태평,59.82,202007,7,17000,2,1990,주부토로532번길 42
인천광역시 계양구 계산동,49-4,49,4,태평,57.03,202007,8,12500,6,1990,주부토로532번길 42
인천광역시 계양구 계산동,49-4,49,4,태평,59.82,202007,17,13500,6,1990,주부토로532번길 42
인천광역시 계양구 계산동,49-4,49,4,태평,59.82,202007,23,17900,3,1990,주부토로532번길 42
인천광역시 계양구 계산동,49-4,49,4,태평,57.03,202007,25,16500,4,1990,주부토로532번길 42
인천광역시 계양구 계산동,18-13,18,13,팬더1,40.76,202007,1,13000,5,1989,경명대로1142번길 7
인천광역시 계양구 계산동,18-13,18,13,팬더1,40.76,202007,2,12700,2,1989,경명대로1142번길 7
인천광역시 계양구 계산동,18-13,18,13,팬더1,40.76,202007,4,13350,5,1989,경명대로1142번길 7
인천광역시 계양구 계산동,18-4,18,4,팬더2,40.76,202007,1,13200,1,1989,경명대로1142번길 15
인천광역시 계양구 계산동,348-2,348,2,하나,39.96,202007,9,18300,2,1987,경명대로1114번길 6
인천광역시 계양구 계산동,348-2,348,2,하나,37.17,202007,9,16700,6,1987,경명대로1114번길 6
인천광역시 계양구 계산동,348-2,348,2,하나,39.96,202007,22,18700,2,1987,경명대로1114번길 6
인천광역시 계양구 계산동,348-2,348,2,하나,39.96,202007,25,19300,2,1987,경명대로1114번길 6
인천광역시 계양구 계산동,348-2,348,2,하나,39.96,202007,28,17300,6,1987,경명대로1114번길 6
인천광역시 계양구 계산동,348-2,348,2,하나,39.96,202007,30,18600,5,1987,경명대로1114번길 6
인천광역시 계양구 계산동,355-1,355,1,한국,82.88,202007,6,27200,3,1991,주부토로 538
인천광역시 계양구 계산동,953-5,953,5,한미삼오,75.63,202007,2,23500,3,1996,어사대로9번길 6
인천광역시 계양구 계산동,953-5,953,5,한미삼오,40.35,202007,8,13300,10,1996,어사대로9번길 5
인천광역시 계양구 계산동,953-5,953,5,한미삼오,75.63,202007,11,24000,8,1996,어사대로9번길 6
인천광역시 계양구 계산동,62-1,62,1,현대,84.945,202007,3,29500,7,1992,계산로 165
