시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,12-2,12,2,개포자이(12-2),153.8,202008,1,252000,8,2004,개포로109길 69
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202008,1,215000,2,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,61.19,202008,8,190000,3,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202008,15,215000,5,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,74.25,202008,15,210000,13,1983,삼성로4길 17
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,202008,6,179500,8,1983,개포로 516
서울특별시 강남구 개포동,1164-30,1164,30,뉴현대파크빌,69.55,202008,3,62000,4,2001,논현로2길 61-4
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,84.36,202008,1,280000,11,2019,삼성로 11
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202008,8,280000,6,2019,선릉로 8
서울특별시 강남구 개포동,1204-5,1204,5,리치타운,107.88,202008,4,80500,5,2004,개포로28길 28
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202008,19,91000,1,1992,개포로109길 9
서울특별시 강남구 개포동,179,179,0,우성8,79.61,202008,12,184500,5,1987,개포로 411
서울특별시 강남구 논현동,274,274,0,경남논현,84.89,202008,14,130000,5,1996,언주로116길 12
서울특별시 강남구 논현동,108,108,0,논현웰스톤,81.98,202008,5,111300,6,2009,학동로43길 38
서울특별시 강남구 논현동,105,105,0,동현아파트 1~6,84.92,202008,9,172000,14,1985,언주로146길 18
서울특별시 강남구 논현동,252-1,252,1,두산위브1단지,84.993,202008,13,163000,8,2004,학동로46길 38
서울특별시 강남구 논현동,58-2,58,2,마일스디오빌,36.29,202008,6,40000,13,2004,학동로 165
서울특별시 강남구 논현동,22,22,0,신동아(22),114.34,202008,19,175000,7,1997,강남대로146길 28
서울특별시 강남구 논현동,276-1,276,1,아크로힐스논현,113.231,202008,6,238000,8,2014,언주로 604
서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,109.04,202008,14,255000,5,2000,도곡로78길 22
서울특별시 강남구 대치동,316,316,0,은마,76.79,202008,6,222000,8,1979,삼성로 212
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,202008,6,172000,34,1999,언주로30길 13
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,168.456,202008,6,278000,34,1999,언주로30길 13
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202008,10,250000,18,1999,언주로30길 13
서울특별시 강남구 도곡동,952,952,0,대우디오빌,31.81,202008,10,29800,8,2004,강남대로 256
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,202008,15,275000,6,2006,선릉로 221
서울특별시 강남구 도곡동,957-11,957,11,도곡스타클래스,111.38,202008,5,136000,16,2007,남부순환로 2615
서울특별시 강남구 도곡동,963,963,0,럭키(963),84.97,202008,1,180000,3,1995,논현로 213
서울특별시 강남구 도곡동,966,966,0,매봉삼성,83.49,202008,3,145000,10,1999,언주로 203
서울특별시 강남구 도곡동,465,465,0,우성4,84.6,202008,15,218000,9,1985,언주로 117
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,84.16,202008,4,220000,33,2002,언주로30길 56
서울특별시 강남구 도곡동,464,464,0,한신(개포),59.48,202008,1,172000,6,1985,언주로 123
서울특별시 강남구 삼성동,142-7,142,7,LG선릉에클라트(A),41.64,202008,2,36900,2,2003,선릉로100길 42
서울특별시 강남구 삼성동,45-5,45,5,그라나다,45.23,202008,10,69000,6,2002,선릉로112길 74
서울특별시 강남구 삼성동,11,11,0,롯데캐슬프레미어,121.931,202008,3,280000,11,2007,선릉로126길 22
서울특별시 강남구 삼성동,82-4,82,4,삼성동헤렌하우스2(82-4),214.74,202008,4,370000,5,2010,영동대로128길 51
서울특별시 강남구 삼성동,16-2,16,2,삼성동힐스테이트 1단지,84.236,202008,3,237000,11,2008,학동로68길 29
서울특별시 강남구 삼성동,52-9,52,9,삼성리치빌1,84.98,202008,4,150500,5,2003,학동로82길 6
서울특별시 강남구 삼성동,117,117,0,쌍용플래티넘,156.97,202008,3,210000,8,2003,봉은사로 474
서울특별시 강남구 삼성동,87,87,0,아이파크,145.046,202008,10,390000,39,2004,영동대로 640
서울특별시 강남구 삼성동,144-10,144,10,우정에쉐르2,59.54,202008,3,78000,7,2004,테헤란로77길 8
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,84.97,202008,20,113000,8,2011,헌릉로590길 63
서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,84.83,202008,22,147000,4,2013,헌릉로571길 20
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,202008,1,135000,7,2012,자곡로 21
서울특별시 강남구 세곡동,533,533,0,세곡푸르지오,74.74,202008,15,136000,9,2012,자곡로 21
서울특별시 강남구 수서동,559,559,0,강남데시앙포레,114.45,202008,8,190000,6,2014,광평로34길 55
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202008,10,98000,4,1993,광평로19길 10
서울특별시 강남구 수서동,708,708,0,삼익,60,202008,5,124000,12,1992,광평로51길 27
서울특별시 강남구 수서동,708,708,0,삼익,60,202008,8,128500,15,1992,광평로51길 27
서울특별시 강남구 수서동,708,708,0,삼익,60,202008,11,121000,3,1992,광평로51길 27
서울특별시 강남구 수서동,736,736,0,신동아,49.96,202008,7,114000,14,1992,광평로47길 17
서울특별시 강남구 신사동,590-7,590,7,압구정 Ainvill,84.36,202008,18,102000,4,2007,논현로154길 12
서울특별시 강남구 압구정동,414,414,0,미성1차,105.65,202008,3,265000,13,1982,압구정로11길 17
서울특별시 강남구 압구정동,397,397,0,미성2차,140.9,202008,11,305000,8,1987,압구정로 113
서울특별시 강남구 압구정동,434,434,0,신현대12차,107.16,202008,10,260000,3,1982,압구정로 151
서울특별시 강남구 압구정동,434,434,0,신현대12차,107.16,202008,25,243000,10,1982,압구정로 151
서울특별시 강남구 압구정동,486,486,0,한양4,101.09,202008,1,229000,10,1978,압구정로 313
서울특별시 강남구 압구정동,513,513,0,한양5,115.24,202008,10,278000,3,1979,압구정로 401
서울특별시 강남구 압구정동,447,447,0,"현대14차(203,204,205,206동)",84.98,202008,11,290000,13,1987,압구정로29길 57
서울특별시 강남구 압구정동,369-1,369,1,"현대2차(10,11,20,23,24,25동)",160.52,202008,1,392000,6,1976,압구정로29길 71
서울특별시 강남구 압구정동,369-1,369,1,"현대2차(10,11,20,23,24,25동)",160.28,202008,5,420000,9,1976,압구정로29길 71
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",157.36,202008,7,400000,6,1979,압구정로 201
서울특별시 강남구 압구정동,456,456,0,"현대7차(73~77,82,85동)",144.2,202008,10,400000,12,1979,압구정로 201
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202008,8,198000,19,2005,선릉로69길 20
서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.947,202008,13,190000,2,2005,선릉로69길 20
서울특별시 강남구 역삼동,823-7,823,7,강남역우정에쉐르,17.23,202008,25,19060,9,2004,테헤란로10길 10
서울특별시 강남구 역삼동,835-67,835,67,금호어울림,132.88,202008,11,189000,4,2003,도곡로7길 22
서울특별시 강남구 역삼동,835-67,835,67,금호어울림,84.95,202008,14,149000,12,2003,도곡로7길 22
서울특별시 강남구 역삼동,763-16,763,16,래미안그레이튼,70.98,202008,8,215000,13,2009,도곡로43길 20
서울특별시 강남구 역삼동,787-4,787,4,리츠빌,93.22,202008,1,86000,4,2003,논현로64길 28
서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,116.285,202008,1,264000,4,2006,역삼로 307
서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,116.285,202008,8,269000,4,2006,역삼로 307
서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,28.246,202008,13,83000,11,2006,역삼로 307
서울특별시 강남구 역삼동,795-41,795,41,역삼동월드메르디앙,83.27,202008,5,140000,11,2005,도곡로21길 15
서울특별시 강남구 역삼동,681-26,681,26,역삼동하나빌,28.44,202008,7,30000,5,2002,봉은사로 312
서울특별시 강남구 역삼동,711-3,711,3,역삼자이,114.019,202008,7,285000,11,2016,언주로 420
서울특별시 강남구 역삼동,728-52,728,52,예지향,84.78,202008,3,93500,6,2003,역삼로33길 13
서울특별시 강남구 역삼동,706-11,706,11,우림루미아트1,23.9,202008,13,20000,9,2003,언주로90길 6
서울특별시 강남구 일원동,615-1,615,1,개포한신,107.6,202008,1,197500,8,1984,개포로110길 43
서울특별시 강남구 일원동,741,741,0,래미안 개포 루체하임,84.97,202008,5,248500,7,2018,개포로110길 50
서울특별시 강남구 일원동,711,711,0,수서,39.98,202008,1,83000,1,1992,양재대로55길 12
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,101.94,202008,6,182000,8,2014,자곡로 101
서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,101.94,202008,13,165000,1,2014,자곡로 101
서울특별시 강남구 자곡동,602,602,0,엘에이치강남아이파크,74.97,202008,26,113700,2,2014,자곡로 175
서울특별시 강남구 자곡동,602,602,0,엘에이치강남아이파크,74.97,202008,26,87050,13,2014,자곡로 175
서울특별시 강남구 청담동,76-12,76,12,라테라스 청담,18.62,202008,3,35000,9,2018,학동로81길 9
서울특별시 강남구 청담동,60,60,0,삼성청담공원아파트,107.22,202008,4,184500,10,1999,도산대로96길 39
서울특별시 강남구 청담동,15,15,0,이편한세상,98.05,202008,5,184000,6,2005,도산대로70길 43
