시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202009,1,230000,14,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,53.98,202009,2,184000,8,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,53.98,202009,5,184000,7,1983,삼성로4길 17
서울특별시 강남구 개포동,187,187,0,개포주공 5단지,83.17,202009,9,230000,14,1983,삼성로4길 17
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,60.13,202009,4,185000,6,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,83.21,202009,9,220000,10,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,73.26,202009,2,205000,5,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,202009,8,175000,15,1983,개포로 516
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,202009,16,185000,10,1983,개포로 516
서울특별시 강남구 개포동,649,649,0,경남1,123.28,202009,5,265000,5,1984,언주로 110
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.967,202009,9,197000,11,2019,선릉로 8
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202009,7,149000,14,1992,개포로109길 21
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202009,2,119000,7,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202009,5,120000,9,1992,개포로109길 9
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202009,16,136000,8,1992,개포로109길 9
서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202009,19,88000,7,1997,강남대로146길 28
서울특별시 강남구 논현동,103,103,0,쌍용,59.91,202009,5,96000,6,1996,도산대로50길 43
서울특별시 강남구 대치동,670,670,0,동부센트레빌,145.83,202009,8,375000,7,2005,선릉로 206
서울특별시 강남구 도곡동,967,967,0,경남,84.94,202009,4,175000,15,2005,논현로 209
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,202009,2,192000,17,1999,언주로30길 13
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,130.545,202009,23,195000,8,1999,언주로30길 13
서울특별시 강남구 도곡동,952,952,0,대우디오빌,31.81,202009,7,31500,11,2004,강남대로 256
서울특별시 강남구 도곡동,462,462,0,럭키(462),79.89,202009,1,150000,3,1986,남부순환로 2740
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,84.89,202009,2,229000,13,2001,남부순환로 2803
서울특별시 강남구 도곡동,91-5,91,5,삼성래미안,59.96,202009,4,184000,20,2001,남부순환로 2803
서울특별시 강남구 도곡동,934-10,934,10,역삼우성,84.83,202009,11,172000,6,1986,남부순환로363길 49
서울특별시 강남구 도곡동,463-1,463,1,우성사원5,78.99,202009,1,185000,9,1986,언주로29길 34
서울특별시 강남구 도곡동,965,965,0,중명하니빌,30.58,202009,28,32500,5,1997,남부순환로365길 5
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,164.97,202009,5,296000,27,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스1,174.67,202009,7,376000,45,2002,언주로30길 56
서울특별시 강남구 삼성동,142-3,142,3,LG선릉에클라트(B),36.35,202009,16,40000,13,2004,테헤란로63길 12
서울특별시 강남구 삼성동,11,11,0,롯데캐슬프레미어,84.484,202009,3,237000,15,2007,선릉로126길 22
서울특별시 강남구 삼성동,53-2,53,2,진흥아파트,207.82,202009,14,310000,13,1984,학동로88길 5
서울특별시 강남구 삼성동,143-37,143,37,현대타워(13층-27층),149.99,202009,16,160000,18,1998,테헤란로 423
서울특별시 강남구 세곡동,525,525,0,강남데시앙파크,84.95,202009,4,135000,8,2011,헌릉로590길 63
서울특별시 강남구 수서동,537,537,0,강남 더샵 포레스트,124.5802,202009,6,235000,5,2016,광평로34길 35
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202009,1,109000,13,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202009,9,87000,2,1993,광평로19길 10
서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202009,15,104500,13,1993,광평로19길 10
서울특별시 강남구 신사동,551-5,551,5,하야트빌,65.01,202009,25,74000,2,2005,논현로159길 56
서울특별시 강남구 압구정동,397,397,0,미성2차,74.4,202009,4,220000,8,1987,압구정로 113
서울특별시 강남구 압구정동,397,397,0,미성2차,140.9,202009,14,320000,8,1987,압구정로 113
서울특별시 강남구 압구정동,433,433,0,신현대11차,171.43,202009,7,445000,11,1983,압구정로 151
서울특별시 강남구 압구정동,426,426,0,신현대9차,152.28,202009,1,420000,9,1982,압구정로 151
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),49.98,202009,2,170500,1,1977,압구정로 321
서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),78.05,202009,18,240000,8,1977,압구정로 321
서울특별시 강남구 압구정동,528,528,0,한양7,106.22,202009,3,270000,12,1981,압구정로61길 37
서울특별시 강남구 압구정동,528,528,0,한양7,106.22,202009,7,268000,10,1981,압구정로61길 37
서울특별시 강남구 압구정동,369-1,369,1,"현대1차(12,13,21,22,31,32,33동)",131.48,202009,3,283000,4,1976,압구정로29길 71
서울특별시 강남구 압구정동,443,443,0,현대3차(61~64동),82.5,202009,3,240500,10,1976,압구정로39길 58
서울특별시 강남구 역삼동,826-37,826,37,쌍용플레티넘밸류,84.9,202009,21,125000,10,2007,테헤란로4길 46
서울특별시 강남구 역삼동,757,757,0,역삼래미안,80.87,202009,2,190000,8,2005,선릉로69길 19
